what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559129816072
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559129816979
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559129845502
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559129847033
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1559130411682
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1559130412510
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1559130664650
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559130667666
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559130710151
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559130710808
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559130712136
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559130712573
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1559130717761
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1559130718448
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559130723370
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559130734355
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559130734495
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559130734558
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559130741573
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1559130746276
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559130747183
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1559130749089
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1559130768245
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559130770886
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559130773948
